rank,scholar_result_id,title,result_url,pdf_url,authors_source,year,snippet,cited_by_count,cited_by_url,versions_count,versions_url,related_url,source_page_start,source_page_url
1,0ebj3ma4aXwJ,"Vision-language-action models: Concepts, progress, applications and challenges",https://arxiv.org/abs/2505.04769,https://arxiv.org/pdf/2505.04769,"R Sapkota, Y Cao, KI Roumeliotis, M Karkee - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Vision-Language-Action (VLA) models mark a transformative advancement in artificial intelligence, aiming to unify perception, natural language understanding, and embodied …",121,"https://scholar.google.com/scholar?cites=8964899285223335633&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=8964899285223335633&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:0ebj3ma4aXwJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
2,iosuwcO7IwsJ,Vision-language-action models for robotics: A review towards real-world applications,https://ieeexplore.ieee.org/abstract/document/11164279/,https://ieeexplore.ieee.org/iel8/6287639/6514899/11164279.pdf,"K Kawaharazuka, J Oh, J Yamada, I Posner… - IEEE Access, 2025 - ieeexplore.ieee.org",2025,"Amid growing efforts to leverage advances in large language models (LLMs) and vision- language models (VLMs) for robotics, Vision-Language-Action (VLA) models have recently …",101,"https://scholar.google.com/scholar?cites=802691608036150154&as_sdt=2005&sciodt=0,5&hl=ko",8,"https://scholar.google.com/scholar?cluster=802691608036150154&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:iosuwcO7IwsJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
3,z04oVUHvi6oJ,Towards reasoning era: A survey of long chain-of-thought for reasoning large language models,https://arxiv.org/abs/2503.09567,https://arxiv.org/pdf/2503.09567,"Q Chen, L Qin, J Liu, D Peng, J Guan, P Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Recent advancements in reasoning with large language models (RLLMs), such as OpenAI- O1 and DeepSeek-R1, have demonstrated their impressive capabilities in complex domains …",482,"https://scholar.google.com/scholar?cites=12289179072091147983&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=12289179072091147983&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:z04oVUHvi6oJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
4,NjKEZbIbi3kJ,Real-time execution of action chunking flow policies,https://proceedings.neurips.cc/paper_files/paper/2025/hash/300ccb2187dedd4edcc07f7e76d8e553-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/300ccb2187dedd4edcc07f7e76d8e553-Paper-Conference.pdf,"K Black, M Galliker, S Levine - Advances in Neural …, 2026 - proceedings.neurips.cc",2026,"Modern AI systems, especially those interacting with the physical world, increasingly require real-time performance. However, the high latency of state-of-the-art generalist models …",85,"https://scholar.google.com/scholar?cites=8758124353373352502&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=8758124353373352502&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:NjKEZbIbi3kJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
5,IQgfkYKmXL0J,A Survey on Vision–Language–Action Models for Embodied AI,https://ieeexplore.ieee.org/abstract/document/11495231/,https://ieeexplore.ieee.org/iel8/5962385/6104215/11495231.pdf,"Y Ma, Z Song, Y Zhuang, J Hao… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",2026,Embodied AI is widely recognized as a cornerstone of artificial general intelligence (AGI) because it involves controlling embodied agents to perform tasks in the physical world …,316,"https://scholar.google.com/scholar?cites=13644964050736449569&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=13644964050736449569&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:IQgfkYKmXL0J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
6,jup7vdR_k9IJ,Forcevla: Enhancing vla models with a force-aware moe for contact-rich manipulation,https://proceedings.neurips.cc/paper_files/paper/2025/hash/8633b46e12cc5f2ee1f05a6ca2c65b38-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/8633b46e12cc5f2ee1f05a6ca2c65b38-Paper-Conference.pdf,"J Yu, H Liu, Q Yu, J Ren, C Hao… - Advances in …, 2026 - proceedings.neurips.cc",2026,"Abstract Vision-Language-Action (VLA) models have advanced general-purpose robotic manipulation by leveraging pretrained visual and linguistic representations. However, they …",63,"https://scholar.google.com/scholar?cites=15173612121230142094&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=15173612121230142094&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:jup7vdR_k9IJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
7,1qTc7K0h8AgJ,CogVLA: Cognition-Aligned Vision-Language-Action Models via Instruction-Driven Routing & Sparsification,https://proceedings.neurips.cc/paper_files/paper/2025/hash/c9028f7874df04843e7bf435ee4cd3c3-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/c9028f7874df04843e7bf435ee4cd3c3-Paper-Conference.pdf,"W Li, R Zhang, R Shao, J He… - Advances in neural …, 2026 - proceedings.neurips.cc",2026,"Abstract Recent Vision-Language-Action (VLA) models built on pre-trained Vision- Language Models (VLMs) require extensive post-training, resulting in high computational …",48,"https://scholar.google.com/scholar?cites=644051777600922838&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=644051777600922838&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:1qTc7K0h8AgJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
8,gq3DMbfYARoJ,Vla-adapter: An effective paradigm for tiny-scale vision-language-action model,https://ojs.aaai.org/index.php/AAAI/article/view/38931,https://ojs.aaai.org/index.php/AAAI/article/view/38931/42893,"Y Wang, P Ding, L Li, C Cui, Z Ge, X Tong… - Proceedings of the …, 2026 - ojs.aaai.org",2026,Vision-Language-Action (VLA) models typically bridge the gap between perceptual and action spaces by pre-training a Vision-Language Model (VLM) on robotic data. While this …,77,"https://scholar.google.com/scholar?cites=1874017201288359298&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=1874017201288359298&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:gq3DMbfYARoJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
9,hnu69EWoXvQJ,Dexgraspvla: A vision-language-action framework towards general dexterous grasping,https://ojs.aaai.org/index.php/AAAI/article/view/38953,https://ojs.aaai.org/index.php/AAAI/article/download/38953/42915,"Y Zhong, X Huang, R Li, C Zhang, Z Chen… - Proceedings of the …, 2026 - ojs.aaai.org",2026,Dexterous grasping remains a fundamental yet challenging problem in robotics. A general- purpose robot must be capable of grasping diverse objects in arbitrary scenarios. However …,90,"https://scholar.google.com/scholar?cites=17608696611477289862&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=17608696611477289862&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:hnu69EWoXvQJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
10,XKAvAgFvAnkJ,A survey on vision-language-action models for autonomous driving,https://openaccess.thecvf.com/content/ICCV2025W/WDFM-AD/html/Jiang_A_Survey_on_Vision-Language-Action_Models_for_Autonomous_Driving_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/WDFM-AD/papers/Jiang_A_Survey_on_Vision-Language-Action_Models_for_Autonomous_Driving_ICCVW_2025_paper.pdf,"S Jiang, Z Huang, K Qian, Z Luo… - Proceedings of the …, 2025 - openaccess.thecvf.com",2025,"The rapid progress of multimodal large language models (MLLM) has paved the way for Vision-Language-Action (VLA) paradigms, which integrate visual perception, natural …",58,"https://scholar.google.com/scholar?cites=8719653878665027676&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=8719653878665027676&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:XKAvAgFvAnkJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
11,J5IqLBWPwIwJ,Dexvla: Vision-language model with plug-in diffusion expert for general robot control,https://arxiv.org/abs/2502.05855,https://arxiv.org/pdf/2502.05855,"J Wen, Y Zhu, J Li, Z Tang, C Shen, F Feng - arXiv preprint arXiv …, 2025 - arxiv.org",2025,Enabling robots to perform diverse tasks across varied environments is a central challenge in robot learning. While vision-language-action (VLA) models have shown promise for …,160,"https://scholar.google.com/scholar?cites=10142263681936429607&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=10142263681936429607&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:J5IqLBWPwIwJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
12,xB_7-tAYDh4J,Vq-vla: Improving vision-language-action models via scaling vector-quantized action tokenizers,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_VQ-VLA_Improving_Vision-Language-Action_Models_via_Scaling_Vector-Quantized_Action_Tokenizers_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_VQ-VLA_Improving_Vision-Language-Action_Models_via_Scaling_Vector-Quantized_Action_Tokenizers_ICCV_2025_paper.pdf,"Y Wang, H Zhu, M Liu, J Yang… - Proceedings of the …, 2025 - openaccess.thecvf.com",2025,"In this paper, we introduce an innovative vector quantization based action tokenizer built upon the largest-scale action trajectory dataset to date, leveraging over 100 times more data …",43,"https://scholar.google.com/scholar?cites=2165695756654813124&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=2165695756654813124&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:xB_7-tAYDh4J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
13,RBhIPvAKFCAJ,Robotwin 2.0: A scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation,https://arxiv.org/abs/2506.18088,https://arxiv.org/pdf/2506.18088,"T Chen, Z Chen, B Chen, Z Cai, Y Liu, Z Li… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,Simulation-based data synthesis has emerged as a powerful paradigm for advancing real- world robotic manipulation. Yet existing datasets remain insufficient for robust bimanual …,195,"https://scholar.google.com/scholar?cites=2311484535701248068&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=2311484535701248068&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:RBhIPvAKFCAJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
14,fPRfNsvUBxcJ,A survey of reinforcement learning for large reasoning models,https://arxiv.org/abs/2509.08827,https://arxiv.org/pdf/2509.08827,"K Zhang, Y Zuo, B He, Y Sun, R Liu, C Jiang… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"In this paper, we survey recent advances in Reinforcement Learning (RL) for reasoning with Large Language Models (LLMs). RL has achieved remarkable success in advancing the …",104,"https://scholar.google.com/scholar?cites=1659528956965024892&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=1659528956965024892&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:fPRfNsvUBxcJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
15,2VedNKAFtNAJ,Vla-os: Structuring and dissecting planning representations and paradigms in vision-language-action models,https://proceedings.neurips.cc/paper_files/paper/2025/hash/c7af751b5e0a407c62ac023e3cb381f9-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/c7af751b5e0a407c62ac023e3cb381f9-Paper-Conference.pdf,"C Gao, Z Liu, Z Chi, J Huang, X Fei… - Advances in …, 2026 - proceedings.neurips.cc",2026,Abstract Recent studies on Vision-Language-Action (VLA) models have shifted from the end- to-end action-generation paradigm toward a pipeline involving task planning followed by …,26,"https://scholar.google.com/scholar?cites=15038651241332561881&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=15038651241332561881&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:2VedNKAFtNAJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
16,YgfCS5Vsw9gJ,Worldvla: Towards autoregressive action world model,https://arxiv.org/abs/2506.21539,https://arxiv.org/pdf/2506.21539,"J Cen, C Yu, H Yuan, Y Jiang, S Huang, J Guo… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"We present WorldVLA, an autoregressive action world model that unifies action and image understanding and generation. Our WorldVLA intergrates Vision-Language-Action (VLA) …",166,"https://scholar.google.com/scholar?cites=15619447321127946082&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=15619447321127946082&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:YgfCS5Vsw9gJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
17,P-CDvifDWCMJ,Gr-3 technical report,https://arxiv.org/abs/2507.15493,https://arxiv.org/pdf/2507.15493,"C Cheang, S Chen, Z Cui, Y Hu, L Huang… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"We report our recent progress towards building generalist robot policies, the development of GR-3. GR-3 is a large-scale vision-language-action (VLA) model. It showcases exceptional …",64,"https://scholar.google.com/scholar?cites=2547000164745470015&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=2547000164745470015&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:P-CDvifDWCMJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
18,SmQM8gpYd1sJ,Interactive post-training for vision-language-action models,https://arxiv.org/abs/2505.17016,https://arxiv.org/pdf/2505.17016,"S Tan, K Dou, Y Zhao, P Krähenbühl - arXiv preprint arXiv:2505.17016, 2025 - arxiv.org",2025,"We introduce RIPT-VLA, a simple and scalable reinforcement-learning-based interactive post-training paradigm that fine-tunes pretrained Vision-Language-Action (VLA) models …",57,"https://scholar.google.com/scholar?cites=6590833383713825866&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=6590833383713825866&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:SmQM8gpYd1sJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
19,Wf4X249fffcJ,A survey on vision-language-action models: An action tokenization perspective,https://arxiv.org/abs/2507.01925,https://arxiv.org/pdf/2507.01925,"Y Zhong, F Bai, S Cai, X Huang, Z Chen… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"The remarkable advancements of vision and language foundation models in multimodal understanding, reasoning, and generation has sparked growing efforts to extend such …",71,"https://scholar.google.com/scholar?cites=17833515170917776985&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=17833515170917776985&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:Wf4X249fffcJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
20,r47B-CBkuScJ,Instructvla: Vision-language-action instruction tuning from understanding to manipulation,https://arxiv.org/abs/2507.17520,https://arxiv.org/pdf/2507.17520,"S Yang, H Li, B Wang, Y Chen, Y Tian, T Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"To operate effectively in the real world, robots should integrate multimodal reasoning with precise action generation. However, existing vision-language-action (VLA) models often …",41,"https://scholar.google.com/scholar?cites=2862429130945826479&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=2862429130945826479&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:r47B-CBkuScJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
21,KXUH958AoZQJ,Memoryvla: Perceptual-cognitive memory in vision-language-action models for robotic manipulation,https://arxiv.org/abs/2508.19236,https://arxiv.org/pdf/2508.19236,"H Shi, B Xie, Y Liu, L Sun, F Liu, T Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Temporal context is essential for robotic manipulation because such tasks are inherently non-Markovian, yet mainstream VLA models typically overlook it and struggle with long …",88,"https://scholar.google.com/scholar?cites=10709842075908011305&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=10709842075908011305&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:KXUH958AoZQJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
22,FWaYFszGU-gJ,Discrete diffusion vla: Bringing discrete diffusion to action decoding in vision-language-action policies,https://arxiv.org/abs/2508.20072,https://arxiv.org/pdf/2508.20072,"Z Liang, Y Li, T Yang, C Wu, S Mao, T Nian… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Vision-Language-Action (VLA) models adapt large vision-language backbones to map images and instructions into robot actions. However, prevailing VLAs either generate actions …",58,"https://scholar.google.com/scholar?cites=16740942819720979989&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=16740942819720979989&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:FWaYFszGU-gJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
23,vuMtFKnhJmQJ,Flare: Robot learning with implicit world modeling,https://arxiv.org/abs/2505.15659,https://arxiv.org/pdf/2505.15659,"R Zheng, J Wang, S Reed, J Bjorck, Y Fang… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"We introduce $\textbf {F} $ uture $\textbf {LA} $ tent $\textbf {RE} $ presentation Alignment ($\textbf {FLARE} $), a novel framework that integrates predictive latent world modeling into …",57,"https://scholar.google.com/scholar?cites=7216703569212072894&as_sdt=2005&sciodt=0,5&hl=ko",5,"https://scholar.google.com/scholar?cluster=7216703569212072894&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:vuMtFKnhJmQJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
24,eu0WCol_G5QJ,Freqpolicy: Efficient flow-based visuomotor policy via frequency consistency,https://proceedings.neurips.cc/paper_files/paper/2025/hash/282c3318be1b047b7bb5ba94fa4f3231-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/282c3318be1b047b7bb5ba94fa4f3231-Paper-Conference.pdf,"Y Su, N Liu, D Chen, Z Zhao, K Wu… - Advances in …, 2026 - proceedings.neurips.cc",2026,"Generative modeling-based visuomotor policies have been widely adopted in robotic manipulation, attributed to their ability to model multimodal action distributions. However, the …",11,"https://scholar.google.com/scholar?cites=10672263968541044090&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=10672263968541044090&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:eu0WCol_G5QJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
25,AgZsIWdDO08J,Beast: Efficient tokenization of b-splines encoded action sequences for imitation learning,https://proceedings.neurips.cc/paper_files/paper/2025/hash/fc75cfcec16170f2b54d00283c739928-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/fc75cfcec16170f2b54d00283c739928-Paper-Conference.pdf,"H Zhou, W Liao, X Huang, Y Tang… - Advances in …, 2026 - proceedings.neurips.cc",2026,"We present the B-spline Encoded Action Sequence Tokenizer (BEAST), a novel action tokenizer that encodes action sequences into compact discrete or continuous tokens using B …",10,"https://scholar.google.com/scholar?cites=5709231062843655682&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=5709231062843655682&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:AgZsIWdDO08J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
26,CjfCvLNm5l0J,Jarvis-vla: Post-training large-scale vision language models to play visual games with keyboards and mouse,https://aclanthology.org/2025.findings-acl.920/,https://aclanthology.org/2025.findings-acl.920.pdf,"M Li, Z Wang, K He, X Ma, Y Liang - Findings of the Association for …, 2025 - aclanthology.org",2025,"Recently, action-based decision-making in open-world environments has gained significant attention. Visual Language Action (VLA) models, pretrained on large-scale web datasets …",29,"https://scholar.google.com/scholar?cites=6766208412322772746&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=6766208412322772746&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:CjfCvLNm5l0J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
27,A_9lRezCEDQJ,Large vlm-based vision-language-action models for robotic manipulation: A survey,https://arxiv.org/abs/2508.13073,https://arxiv.org/pdf/2508.13073,"R Shao, W Li, L Zhang, R Zhang, Z Liu, R Chen… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Robotic manipulation, a key frontier in robotics and embodied AI, requires precise motor control and multimodal understanding, yet traditional rule-based methods fail to scale or …",65,"https://scholar.google.com/scholar?cites=3751712809632005891&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=3751712809632005891&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:A_9lRezCEDQJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
28,WTperNxccc4J,Chain-of-action: Trajectory autoregressive modeling for robotic manipulation,https://proceedings.neurips.cc/paper_files/paper/2025/hash/9877d915a4b4f00e85e7b4cfdf41e450-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/9877d915a4b4f00e85e7b4cfdf41e450-Paper-Conference.pdf,"W Zhang, T Hu, H Zhang, Y Qiao… - Advances in …, 2026 - proceedings.neurips.cc",2026,"Abstract We present Chain-of-Action (CoA), a novel visuomotor policy paradigm built upon Trajectory Autoregressive Modeling. Unlike conventional approaches that predict next step …",9,"https://scholar.google.com/scholar?cites=14875773147035875929&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=14875773147035875929&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:WTperNxccc4J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
29,QWyYaBZ5Z28J,Spec-vla: speculative decoding for vision-language-action models with relaxed acceptance,https://aclanthology.org/2025.emnlp-main.1367/,https://aclanthology.org/2025.emnlp-main.1367.pdf,"S Wang, R Yu, Z Yuan, C Yu, F Gao… - Proceedings of the …, 2025 - aclanthology.org",2025,"Abstract Vision-Language-Action (VLA) models have made substantial progress by leveraging the robust capabilities of Visual Language Models (VLMs). However, VLMs' …",28,"https://scholar.google.com/scholar?cites=8027517997962259521&as_sdt=2005&sciodt=0,5&hl=ko",7,"https://scholar.google.com/scholar?cluster=8027517997962259521&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:QWyYaBZ5Z28J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
30,fFVxNtMxkU8J,Unified vision-language-action model,https://arxiv.org/abs/2506.19850,https://arxiv.org/pdf/2506.19850,"Y Wang, X Li, W Wang, J Zhang, Y Li, Y Chen… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Vision-language-action models (VLAs) have garnered significant attention for their potential in advancing robotic manipulation. However, previous approaches predominantly rely on …",77,"https://scholar.google.com/scholar?cites=5733418583840609660&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=5733418583840609660&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:fFVxNtMxkU8J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",20,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=20
